productId,productName,category,furnitureType,modelNumber,brandName,availability,steelGrade,topMaterial,frameMaterial,frameThickness,surfaceFinish,enclosureMaterial,color,corrosionResistanceLevel,loadCapacityKg,seatingCapacity,usageArea,recommendedFor,length_cm,width_cm,height_cm,weight_kg,maximumWeightRecommendation_kg,basePriceINR,discountPercentage,finalPriceINR,stockQuantity,rating,reviewsCount,salesCount,warrantyYears,productDescription,features,leadTimeDays,installationSupport,maintenanceRequired,countryOfOrigin,createdAt,type,category_clean,price_numeric,tags
PRD01434,Custom Brushed Glass Railing Horizontal,SS Railing,Modular Railing,SKSW-SR-5273,ShriKrishnaSteelWorks,In Stock,SS 304,GI Sheet,MS Square Pipe,2.5mm,Electro Polished,Solid Panel,Brushed Silver,High,989,,Hotel,Structural Support,326.3,5.9,106.8,28.8,870.5,118100,24,89800,466,3.5,1013,4251,5,"ShriKrishnaSteelWorks is pleased to introduce its high-performance Custom Brushed Glass Railing Horizontal, engineered for superior functionality and durability in commercial and industrial environments. Constructed with SS 304 steel and treated with a Electro Polished finish, this unit offers excellent mechanical properties and corrosion protection. The ergonomic design ensures ease of use while optimizing space utilization for Hotel applications. Every product is inspected thoroughly for dimensional accuracy, finish quality, and structural soundness. We provide full customization services including bespoke sizing, finish options, and special configurations to meet unique project requirements. With a strong commitment to quality and timely delivery, ShriKrishnaSteelWorks has become a trusted name among architects, contractors, hotel groups, and industrial enterprises across India. Our after-sales support ensures long-term customer satisfaction and trouble-free operation.","Durable construction, Mirror finish, Customizable length, Welded joints, Elegant appearance",8,Yes,Medium,India,2025-06-22,Railing,Fabrication,89800,"office,security,stainless steel,steel"
PRD01435,Modular Brushed Balcony Railing with Glass Infill,SS Railing,Wall Mounted Railing,SKSW-SR-8835,ShriKrishnaSteelWorks,In Stock,SS 202,GI Sheet,SS 316 Pipe,2.0mm,Hairline Finish,MS Sheet,Brushed Silver,Low,424,,Industrial,Structural Support,498.5,12.7,116,26.8,348.5,32000,21,25300,94,4.8,1029,2091,1,"Renowned for its quality craftsmanship and material excellence, the Modular Brushed Balcony Railing with Glass Infill by ShriKrishnaSteelWorks is a benchmark product in its category. Utilizing high-tensile SS 202 steel with advanced Hairline Finish treatment, this product delivers exceptional performance under varied load and environmental conditions. Engineered for reliability and long service life, it serves as an ideal solution for Industrial installations requiring both functionality and aesthetic value. Our manufacturing process adheres to stringent quality protocols, ensuring each unit meets dimensional tolerances and finish standards consistently. We cater to both standard and customized orders with competitive lead times. Our expert technical team provides full support from product selection to installation, ensuring a seamless experience for every client. Choose ShriKrishnaSteelWorks for a product that combines industrial strength with refined finishing.","Customizable length, Modern design, Low maintenance, Corrosion resistant, Welded joints",18,Yes,Low,India,2025-12-16,Railing,Fabrication,25300,"industrial,modular,security,steel"
PRD02859,Service GI Kitchen Trolley Rectangular,Kitchen Trolleys,Storage Trolley,SKSW-KT-4478,ShriKrishnaSteelWorks,Made to Order,SS 316L,Granite Top,SS 316 Pipe,3.5mm,Matte Finish,MS Sheet,Grey,High,35,,Industrial,Hospitality Use,116.8,87.4,144.3,26.3,31.9,36300,17.8,29800,153,4,352,65,5,"Our organization is widely reputed in providing Service GI Kitchen Trolley Rectangular to our esteemed customers across India. The combination of elegant design, excellent texture and immaculate finishing makes this range one of the best available in the market today. Manufactured using premium quality SS 316L stainless steel, this product ensures exceptional durability and longevity even in demanding industrial environments. The Matte Finish surface treatment not only enhances the aesthetic appeal but also provides superior protection against corrosion and daily wear. Each unit undergoes rigorous quality checks to meet the highest industry standards before dispatch. We offer full customization options including size, finish, and configuration as per client requirements. Our dedicated team ensures timely delivery and post-sales support to guarantee complete client satisfaction. Trust ShriKrishnaSteelWorks for products that combine functionality with superior craftsmanship.","Smooth rolling casters, Stainless steel construction, Durable, Compact design, Multi-tier storage, Heavy duty, Easy to clean, Rust resistant, Locking wheels",23,Yes,Low,India,2026-02-27,Cabinet,Fabrication,29800,"hospital,heavy-duty,storage,lockable,steel"
PRD02860,Multipurpose MS Service Cart Folding,Kitchen Trolleys,Kitchen Trolley,SKSW-KT-4418,ShriKrishnaSteelWorks,In Stock,GI Steel,MS Sheet,ERW Pipe,6.0mm,Mirror Finish,SS Sheet,Copper,Medium,161,,Canteen,Hospitality Use,50.3,71.6,112,13.5,113,15200,6,14300,422,4.4,136,2855,3,"Presenting the Multipurpose MS Service Cart Folding from ShriKrishnaSteelWorks � a perfect blend of strength, style, and functionality for professional use. Made from premium GI Steel stainless steel, this product offers excellent resistance to rust, corrosion, and mechanical stress, making it ideal for long-term use in Canteen settings. The precision-cut components and expert welding result in a structurally sound and visually appealing unit. With a Mirror Finish surface finish, the product maintains its brilliance and hygiene with minimal maintenance effort. Customization in terms of dimensions, color, and configuration is readily available for bulk orders. We are committed to providing value-for-money solutions with uncompromised quality and on-time delivery. Our clientele across hospitality, industrial, and institutional sectors trusts ShriKrishnaSteelWorks for consistent excellence.","Durable, Rust resistant, Smooth rolling casters, Food grade material, Ergonomic handle, Heavy duty, Easy to clean, Stainless steel construction",23,Yes,High,India,2026-02-19,Cabinet,Fabrication,14300,"hospital,heavy-duty,storage,foldable,steel"
PRD02861,Catering SS 304 Kitchen Trolley with Drawers,Kitchen Trolleys,Waste Trolley,SKSW-KT-5648,ShriKrishnaSteelWorks,Made to Order,Carbon Steel,PVC Coated Steel,SS 304 Pipe,3.0mm,Mirror Finish,Wire Mesh,Grey,Low,176,,Canteen,Transportation of Goods,89,55,137.2,10.2,140.7,21400,11.7,18900,241,4,416,4946,3,"ShriKrishnaSteelWorks takes pride in offering premium quality Catering SS 304 Kitchen Trolley with Drawers that stands out for its robust construction and refined aesthetics. Crafted from high-grade Carbon Steel steel with a Mirror Finish treatment, this product delivers outstanding performance across diverse applications. The precision engineering and meticulous welding ensure structural integrity under heavy load conditions. Ideal for Canteen environments, this unit is designed to withstand rigorous daily usage while maintaining its pristine appearance. We understand the unique demands of industrial and commercial clients, which is why we offer tailor-made customization to perfectly align with your space and operational requirements. Our experienced fabrication team uses state-of-the-art machinery to produce consistent, high-quality results. We guarantee timely delivery at competitive pricing with complete installation support available on request.","Locking wheels, Stainless steel construction, Smooth rolling casters, Multi-tier storage, Lightweight, Rust resistant, Ergonomic handle, Compact design",18,Yes,High,India,2026-02-24,Cabinet,Fabrication,18900,"indoor,storage,lockable,steel"
PRD02862,Service Stainless Steel Service Cart 3 Shelf,Kitchen Trolleys,Linen Trolley,SKSW-KT-6769,ShriKrishnaSteelWorks,Made to Order,SS 201,Toughened Glass,Hollow Section Steel,1.5mm,Matte Finish,Expanded Metal,Grey,High,129,,Canteen,Catering,56.8,89.1,104.4,24.2,101.9,42300,11.2,37600,113,4.8,499,3151,1,"Renowned for its quality craftsmanship and material excellence, the Service Stainless Steel Service Cart 3 Shelf by ShriKrishnaSteelWorks is a benchmark product in its category. Utilizing high-tensile SS 201 steel with advanced Matte Finish treatment, this product delivers exceptional performance under varied load and environmental conditions. Engineered for reliability and long service life, it serves as an ideal solution for Canteen installations requiring both functionality and aesthetic value. Our manufacturing process adheres to stringent quality protocols, ensuring each unit meets dimensional tolerances and finish standards consistently. We cater to both standard and customized orders with competitive lead times. Our expert technical team provides full support from product selection to installation, ensuring a seamless experience for every client. Choose ShriKrishnaSteelWorks for a product that combines industrial strength with refined finishing.","Durable, Rust resistant, Compact design, Locking wheels, Stainless steel construction, Easy to clean, Smooth rolling casters, Heavy duty",21,No,Medium,India,2025-07-28,Cabinet,Fabrication,37600,"indoor,heavy-duty,storage,lockable,steel"
PRD02863,Utility GI Utility Trolley Folding,Kitchen Trolleys,Linen Trolley,SKSW-KT-1414,ShriKrishnaSteelWorks,Made to Order,SS 430,Toughened Glass,SS 316 Pipe,1.5mm,Galvanized,Wire Mesh,Silver,High,124,,Hotel,Hospitality Use,70,62.8,123.1,27.9,111.8,36600,21.2,28800,442,3.6,1074,758,2,"ShriKrishnaSteelWorks is pleased to introduce its high-performance Utility GI Utility Trolley Folding, engineered for superior functionality and durability in commercial and industrial environments. Constructed with SS 430 steel and treated with a Galvanized finish, this unit offers excellent mechanical properties and corrosion protection. The ergonomic design ensures ease of use while optimizing space utilization for Hotel applications. Every product is inspected thoroughly for dimensional accuracy, finish quality, and structural soundness. We provide full customization services including bespoke sizing, finish options, and special configurations to meet unique project requirements. With a strong commitment to quality and timely delivery, ShriKrishnaSteelWorks has become a trusted name among architects, contractors, hotel groups, and industrial enterprises across India. Our after-sales support ensures long-term customer satisfaction and trouble-free operation.","Food grade material, Compact design, Ergonomic handle, Rust resistant, Smooth rolling casters",45,Yes,Medium,India,2026-02-18,Cabinet,Fabrication,28800,"hospital,storage,foldable,steel"
PRD02864,Catering MS Service Cart 2 Shelf,Kitchen Trolleys,Linen Trolley,SKSW-KT-1673,ShriKrishnaSteelWorks,Made to Order,SS 202,Mild Steel,MS Angle Iron,6.0mm,Electro Polished,MS Sheet,White,High,63,,Hotel,Storage,48.4,53.4,99,45.9,58,4800,12.3,4200,44,4.6,569,4969,2,"ShriKrishnaSteelWorks takes pride in offering premium quality Catering MS Service Cart 2 Shelf that stands out for its robust construction and refined aesthetics. Crafted from high-grade SS 202 steel with a Electro Polished treatment, this product delivers outstanding performance across diverse applications. The precision engineering and meticulous welding ensure structural integrity under heavy load conditions. Ideal for Hotel environments, this unit is designed to withstand rigorous daily usage while maintaining its pristine appearance. We understand the unique demands of industrial and commercial clients, which is why we offer tailor-made customization to perfectly align with your space and operational requirements. Our experienced fabrication team uses state-of-the-art machinery to produce consistent, high-quality results. We guarantee timely delivery at competitive pricing with complete installation support available on request.","Compact design, Ergonomic handle, Easy to clean, Stainless steel construction, Heavy duty, Smooth rolling casters, Durable, Multi-tier storage, Food grade material",25,Yes,Low,India,2026-02-11,Cabinet,Fabrication,4200,"office,heavy-duty,storage,steel"
PRD05717,Designer GI Coated Side Table Double,Hotel Furnitures,Wardrobe,SKSW-HF-8808,ShriKrishnaSteelWorks,In Stock,SS 316,Stainless Steel,MS C-Channel,8.0mm,Electro Polished,Perforated Sheet,Chrome,Low,587,4,Club,Guest Accommodation,128.2,111.8,67.3,71.2,539.8,132300,7.8,122000,448,4.5,743,2104,3,"ShriKrishnaSteelWorks is pleased to introduce its high-performance Designer GI Coated Side Table Double, engineered for superior functionality and durability in commercial and industrial environments. Constructed with SS 316 steel and treated with a Electro Polished finish, this unit offers excellent mechanical properties and corrosion protection. The ergonomic design ensures ease of use while optimizing space utilization for Club applications. Every product is inspected thoroughly for dimensional accuracy, finish quality, and structural soundness. We provide full customization services including bespoke sizing, finish options, and special configurations to meet unique project requirements. With a strong commitment to quality and timely delivery, ShriKrishnaSteelWorks has become a trusted name among architects, contractors, hotel groups, and industrial enterprises across India. Our after-sales support ensures long-term customer satisfaction and trouble-free operation.","Elegant design, Hygienic surface, Easy maintenance, Customizable, Premium finish, Corrosion resistant, Heavy load capacity, Long lasting, Modern aesthetics",27,No,Low,India,2026-02-16,Almirah,Steel Furniture,122000,"indoor,heavy-duty,storage,modern,steel"
PRD05718,Premium Stainless Steel Bar Counter Double,Hotel Furnitures,Wardrobe,SKSW-HF-1710,ShriKrishnaSteelWorks,In Stock,SS 304,Powder Coated Steel,MS Square Pipe,2.5mm,Powder Coated,SS Sheet,Copper,High,168,,Resort,Guest Accommodation,244.1,73,151.1,139.7,130.5,22500,24.9,16900,369,3.8,87,1862,2,"ShriKrishnaSteelWorks is pleased to introduce its high-performance Premium Stainless Steel Bar Counter Double, engineered for superior functionality and durability in commercial and industrial environments. Constructed with SS 304 steel and treated with a Powder Coated finish, this unit offers excellent mechanical properties and corrosion protection. The ergonomic design ensures ease of use while optimizing space utilization for Resort applications. Every product is inspected thoroughly for dimensional accuracy, finish quality, and structural soundness. We provide full customization services including bespoke sizing, finish options, and special configurations to meet unique project requirements. With a strong commitment to quality and timely delivery, ShriKrishnaSteelWorks has become a trusted name among architects, contractors, hotel groups, and industrial enterprises across India. Our after-sales support ensures long-term customer satisfaction and trouble-free operation.","Heavy load capacity, Comfortable seating, Hygienic surface, Durable construction, Easy maintenance, Long lasting, Premium finish, Customizable, Elegant design",34,Yes,High,India,2026-02-17,Almirah,Steel Furniture,16900,"indoor,heavy-duty,storage,powder-coated,stainless steel"
PRD05719,Contemporary MS Reception Desk Queen Size,Hotel Furnitures,Hotel Bed Frame,SKSW-HF-3049,ShriKrishnaSteelWorks,In Stock,GI Steel,MS Sheet,MS Square Pipe,2.0mm,Satin Finish,GI Sheet,Golden,High,512,10,Banquet Hall,Guest Accommodation,228.9,86.9,195.9,76.3,387.9,72100,12.3,63200,400,4,426,1278,1,"We are a leading manufacturer and supplier of Contemporary MS Reception Desk Queen Size designed to meet the stringent requirements of modern industrial and commercial applications. Our products are fabricated using top-grade GI Steel steel, ensuring maximum strength, durability, and corrosion resistance. The Satin Finish finish provides an attractive appearance while protecting the surface from environmental damage. Every product is manufactured in accordance with industry quality standards and goes through multiple quality assurance checks before reaching the customer. Available in standard and custom configurations, our Contemporary MS Reception Desk Queen Size can be tailored to match specific dimensional and functional requirements. ShriKrishnaSteelWorks is committed to delivering products on time with the highest degree of client satisfaction. Our responsive after-sales service and technical support team ensure your complete peace of mind post-purchase.","Premium finish, Heavy load capacity, Scratch resistant, Elegant design, Durable construction, Hygienic surface, Easy maintenance, Customizable",5,Yes,High,India,2025-11-17,Bench,Steel Furniture,63200,"indoor,heavy-duty,modern,steel"
PRD05720,Luxury Stainless Steel Side Table 8 Seater,Hotel Furnitures,Room Divider,SKSW-HF-9863,ShriKrishnaSteelWorks,In Stock,Carbon Steel,Granite Top,SS Box Section,5.0mm,Hairline Finish,GI Sheet,Blue Grey,Medium,67,10,Banquet Hall,Dining,297.1,189.1,85.7,76,50.7,138100,7.5,127700,3,3.7,412,4581,1,"Presenting the Luxury Stainless Steel Side Table 8 Seater from ShriKrishnaSteelWorks � a perfect blend of strength, style, and functionality for professional use. Made from premium Carbon Steel stainless steel, this product offers excellent resistance to rust, corrosion, and mechanical stress, making it ideal for long-term use in Banquet Hall settings. The precision-cut components and expert welding result in a structurally sound and visually appealing unit. With a Hairline Finish surface finish, the product maintains its brilliance and hygiene with minimal maintenance effort. Customization in terms of dimensions, color, and configuration is readily available for bulk orders. We are committed to providing value-for-money solutions with uncompromised quality and on-time delivery. Our clientele across hospitality, industrial, and institutional sectors trusts ShriKrishnaSteelWorks for consistent excellence.","Durable construction, Hygienic surface, Premium finish, Easy maintenance, Heavy load capacity, Elegant design, Comfortable seating, Modern aesthetics",9,No,Medium,India,2025-09-14,Partition,Steel Furniture,127700,"indoor,heavy-duty,modern,steel"
PRD05721,Designer GI Coated Bar Counter Double,Hotel Furnitures,Wardrobe,SKSW-HF-9653,ShriKrishnaSteelWorks,Made to Order,SS 304,Aluminium Composite,MS Round Pipe,4.0mm,Satin Finish,SS Sheet,Silver,High,172,,Resort,Dining,107.6,74.4,153.8,123.1,133.7,30200,24.9,22700,241,3.8,571,2675,1,"ShriKrishnaSteelWorks is pleased to introduce its high-performance Designer GI Coated Bar Counter Double, engineered for superior functionality and durability in commercial and industrial environments. Constructed with SS 304 steel and treated with a Satin Finish finish, this unit offers excellent mechanical properties and corrosion protection. The ergonomic design ensures ease of use while optimizing space utilization for Resort applications. Every product is inspected thoroughly for dimensional accuracy, finish quality, and structural soundness. We provide full customization services including bespoke sizing, finish options, and special configurations to meet unique project requirements. With a strong commitment to quality and timely delivery, ShriKrishnaSteelWorks has become a trusted name among architects, contractors, hotel groups, and industrial enterprises across India. Our after-sales support ensures long-term customer satisfaction and trouble-free operation.","Comfortable seating, Scratch resistant, Corrosion resistant, Modern aesthetics, Long lasting, Durable construction",6,No,Low,India,2025-07-16,Almirah,Steel Furniture,22700,"indoor,storage,modern,stainless steel"
